cefr_level,category,lemma,term,translation,article,aliases
C1,phrases,im folgenden,Im Folgenden,in the following,,
C2,nouns,Nuance,die Nuance,nuance,die,
C2,nouns,Verhältnismäßigkeit,die Verhältnismäßigkeit,proportionality,die,
C2,nouns,Selbstverständnis,das Selbstverständnis,self-conception,das,
C2,nouns,Wechselwirkung,die Wechselwirkung,interaction,die,
C2,nouns,Tragweite,die Tragweite,scope,die,
C2,nouns,Evidenz,die Evidenz,evidence,die,
C2,nouns,Ambivalenz,die Ambivalenz,ambivalence,die,
C2,nouns,Kohärenz,die Kohärenz,coherence,die,
C2,nouns,Präzision,die Präzision,precision,die,
C2,nouns,Deutung,die Deutung,interpretation,die,
C2,verbs,präzisieren,präzisieren,to specify,,
C2,verbs,kontextualisieren,kontextualisieren,to contextualize,,
C2,verbs,widerspiegeln,widerspiegeln,to reflect,,
C2,verbs,nuancieren,nuancieren,to nuance,,
C2,verbs,relativieren,relativieren,to relativize,,
C2,verbs,vergegenwärtigen,vergegenwärtigen,to bring to mind,,
C2,verbs,konsolidieren,konsolidieren,to consolidate,,
C2,verbs,abstrahieren,abstrahieren,to abstract,,
C2,verbs,rekonstruieren,rekonstruieren,to reconstruct,,
C2,verbs,konkretisieren,konkretisieren,to make more concrete,,
C2,adjectives,vielschichtig,vielschichtig,multilayered,,
C2,adjectives,widersprüchlich,widersprüchlich,contradictory,,
C2,adjectives,voraussetzungsvoll,voraussetzungsvoll,demanding in prerequisites,,
C2,adjectives,implizit,implizit,implicit,,
C2,adjectives,kohärent,kohärent,coherent,,
C2,adjectives,facettenreich,facettenreich,multifaceted,,
C2,adjectives,unumgänglich,unumgänglich,unavoidable,,
C2,adjectives,stringent,stringent,stringent,,
C2,adverbs,gleichermaßen,gleichermaßen,equally,,
C2,adverbs,wechselseitig,wechselseitig,mutually,,
C2,adverbs,explizit,explizit,explicitly,,
C2,adverbs,implizit,implizit,implicitly,,
C2,adverbs,konsequenterweise,konsequenterweise,consequently,,
C2,prepositions,vermittels,vermittels,by means of,,
C2,prepositions,seitens,seitens,on the part of,,
C2,prepositions,kraft,kraft,by virtue of,,
C2,phrases,es bedarf einer genaueren betrachtung,Es bedarf einer genaueren Betrachtung,it requires closer examination,,
C2,phrases,unter berücksichtigung von,Unter Berücksichtigung von,taking into account,,
C2,phrases,in diesem zusammenhang ist hervorzuheben,In diesem Zusammenhang ist hervorzuheben,in this context it should be emphasized,,
C2,phrases,daraus lässt sich ableiten,Daraus lässt sich ableiten,it can be inferred from this,,
C2,phrases,bei näherer betrachtung,Bei näherer Betrachtung,on closer inspection,,
